Param 0: {'tau0': 9.701809206152345e-06, 'xi': 0.09407325991753526, 'q0': 0.3044948820351523, 'alpha': 1.8442079342859672, 'beta': 1.893720745386587, 'rho': 0.3120024078765271, 'ants': 29}
Param 37: {'tau0': 9.546586330686151e-06, 'xi': 0.07432857356120594, 'q0': 0.39855006298732903, 'alpha': 1.1362553523500754, 'beta': 1.13375631131127, 'rho': 0.39805176799684205, 'ants': 18}
Param 38: {'tau0': 2.2570844960363238e-06, 'xi': 0.1499824051273781, 'q0': 0.6397024715024884, 'alpha': 1.3177960201993473, 'beta': 1.7274258641979925, 'rho': 0.06839890232135862, 'ants': 10}
Param 39: {'tau0': 9.375317187382458e-06, 'xi': 0.1262899054888864, 'q0': 0.7055217120426633, 'alpha': 1.8010444237149952, 'beta': 1.3070739401200755, 'rho': 0.0819059266997208, 'ants': 15}
Param 40: {'tau0': 6.651155935593466e-06, 'xi': 0.0698190378741818, 'q0': 0.8638669115585977, 'alpha': 1.1622049190539232, 'beta': 1.595958584283492, 'rho': 0.31540247478897615, 'ants': 9}
Param 41: {'tau0': 1.3763468429827451e-06, 'xi': 0.13059886401904963, 'q0': 0.7970081104032578, 'alpha': 0.9961946895439933, 'beta': 0.8455334921092874, 'rho': 0.2687684260652423, 'ants': 32}
Param 42: {'tau0': 6.895901444357542e-06, 'xi': 0.11930677293557751, 'q0': 0.7766820476791325, 'alpha': 1.762448247826621, 'beta': 0.8740652131662537, 'rho': 0.21713520092331218, 'ants': 13}
Param 43: {'tau0': 1.774794369235601e-06, 'xi': 0.05178086251934671, 'q0': 0.765199417754037, 'alpha': 1.7110920267750438, 'beta': 1.3090193389783644, 'rho': 0.2964096563219366, 'ants': 12}
Param 44: {'tau0': 5.572049615801917e-06, 'xi': 0.06325004225542018, 'q0': 0.8461092587771804, 'alpha': 1.389681207393384, 'beta': 0.3366413033928038, 'rho': 0.4612946765120627, 'ants': 22}
Param 45: {'tau0': 4.324890613407541e-06, 'xi': 0.12290267674013398, 'q0': 0.47304418264323866, 'alpha': 0.9643516325370455, 'beta': 0.8937714391186662, 'rho': 0.17837160642396882, 'ants': 18}
Param 46: {'tau0': 6.293660666238772e-06, 'xi': 0.0765998967889499, 'q0': 0.6265340995784354, 'alpha': 0.31196112568590606, 'beta': 0.6324794380700602, 'rho': 0.3069899243645694, 'ants': 19}
Param 47: {'tau0': 5.886189817315941e-06, 'xi': 0.08222368157872886, 'q0': 0.5177131034654385, 'alpha': 1.8715621976373542, 'beta': 1.496250370264296, 'rho': 0.33920762188241993, 'ants': 22}
Param 48: {'tau0': 9.926534885232458e-06, 'xi': 0.06692036828162971, 'q0': 0.3019379808030227, 'alpha': 1.9521308295520166, 'beta': 1.4674217120935573, 'rho': 0.15756254670228562, 'ants': 22}
Param 49: {'tau0': 3.5413625395276035e-06, 'xi': 0.13677021617214064, 'q0': 0.40454797157881806, 'alpha': 1.9054287973649844, 'beta': 1.2761266989533575, 'rho': 0.43117638553854254, 'ants': 24}
Param 50: {'tau0': 5.432541354150304e-06, 'xi': 0.1098768506848867, 'q0': 0.588663995987506, 'alpha': 1.0903417143977059, 'beta': 1.0292353817624138, 'rho': 0.37868431591672963, 'ants': 31}
Param 51: {'tau0': 4.426929263156353e-06, 'xi': 0.06025838234537617, 'q0': 0.705001489203017, 'alpha': 1.7379886783859488, 'beta': 1.7095931918554976, 'rho': 0.10716913974093385, 'ants': 23}
Param 52: {'tau0': 5.449825531692064e-06, 'xi': 0.10463551100918586, 'q0': 0.3791032022582517, 'alpha': 1.5968901194470106, 'beta': 0.6682022659911173, 'rho': 0.3643260630360847, 'ants': 18}
Param 53: {'tau0': 4.5971794894411765e-06, 'xi': 0.07935886436067696, 'q0': 0.6133148179425765, 'alpha': 0.959591163017489, 'beta': 1.7442602148622774, 'rho': 0.32248764047634604, 'ants': 29}
Param 54: {'tau0': 9.387858024888234e-06, 'xi': 0.14290215705758647, 'q0': 0.4917258290014144, 'alpha': 1.0227666505205433, 'beta': 1.168523363313268, 'rho': 0.2926263236671505, 'ants': 22}
Param 55: {'tau0': 1.8744203829802787e-06, 'xi': 0.06974601013646063, 'q0': 0.6646227429685135, 'alpha': 0.837812461347453, 'beta': 0.9110718814664547, 'rho': 0.3627109167529502, 'ants': 14}
Param 56: {'tau0': 3.462877209278076e-06, 'xi': 0.0658154748162855, 'q0': 0.6970370798529836, 'alpha': 1.3037173239481683, 'beta': 0.3291761938293081, 'rho': 0.413035014315252, 'ants': 16}
Param 57: {'tau0': 4.879942623985006e-06, 'xi': 0.08399557345205959, 'q0': 0.8878104132072444, 'alpha': 1.876793500103366, 'beta': 1.500849913875006, 'rho': 0.45614013825443306, 'ants': 13}
Param 58: {'tau0': 4.4510989038433445e-06, 'xi': 0.08945606202546638, 'q0': 0.47345622448593194, 'alpha': 1.2900775735272525, 'beta': 0.7464788134566036, 'rho': 0.4234734074527042, 'ants': 18}
Param 59: {'tau0': 9.342356314703797e-06, 'xi': 0.11093798894348852, 'q0': 0.3936504222796646, 'alpha': 1.8613339066625738, 'beta': 0.5900213499937936, 'rho': 0.2538267278899345, 'ants': 22}
Param 60: {'tau0': 4.822265207889503e-06, 'xi': 0.13540262306958187, 'q0': 0.6138627392147109, 'alpha': 1.667403283011879, 'beta': 1.0113699636281308, 'rho': 0.16684714562074338, 'ants': 26}
Param 61: {'tau0': 5.498217034018323e-06, 'xi': 0.07476910638285614, 'q0': 0.4717218972346363, 'alpha': 1.947841791710605, 'beta': 1.831830451033867, 'rho': 0.12093333427234658, 'ants': 15}
Param 62: {'tau0': 6.233831045293282e-06, 'xi': 0.10451661342493951, 'q0': 0.8893124268375978, 'alpha': 1.349306787935924, 'beta': 0.6109712049564031, 'rho': 0.46309129670203547, 'ants': 8}
Param 63: {'tau0': 5.998921288673613e-06, 'xi': 0.12799050366072715, 'q0': 0.730921478054052, 'alpha': 1.5055228070199218, 'beta': 0.3739261379740735, 'rho': 0.1599798192967875, 'ants': 28}
Param 64: {'tau0': 4.498936448740942e-06, 'xi': 0.13853729626942535, 'q0': 0.527822666374638, 'alpha': 1.6196713237028468, 'beta': 0.6656100225587412, 'rho': 0.18622598889901743, 'ants': 24}
Param 65: {'tau0': 4.020220899909005e-06, 'xi': 0.13174644598316573, 'q0': 0.6110235189733683, 'alpha': 1.6598844502421457, 'beta': 1.4439786122174993, 'rho': 0.18623233223962188, 'ants': 32}
Param 66: {'tau0': 1.34326092400037e-06, 'xi': 0.13441645763893803, 'q0': 0.4083523399061119, 'alpha': 0.5070175800996563, 'beta': 0.9994669821848109, 'rho': 0.2873914507152631, 'ants': 17}
Param 67: {'tau0': 1.944733890460195e-06, 'xi': 0.10406489729971813, 'q0': 0.5015133780289627, 'alpha': 0.48372224880231074, 'beta': 1.7691019222478264, 'rho': 0.4010581607160818, 'ants': 21}
Param 68: {'tau0': 8.753936472387218e-06, 'xi': 0.09720016068128765, 'q0': 0.8231293796694477, 'alpha': 0.5431396504147108, 'beta': 1.6359800101718294, 'rho': 0.1536282766541045, 'ants': 15}
Param 69: {'tau0': 7.812894719628246e-06, 'xi': 0.0766649900567211, 'q0': 0.3937027431240757, 'alpha': 1.3517471324904988, 'beta': 1.9563494025351882, 'rho': 0.17338412974172868, 'ants': 20}
Param 70: {'tau0': 9.84719681858141e-06, 'xi': 0.07010842379960239, 'q0': 0.6134461647846249, 'alpha': 1.8618032848172066, 'beta': 0.8495777604552623, 'rho': 0.35523900559656113, 'ants': 21}
Param 71: {'tau0': 7.151935564269642e-06, 'xi': 0.10184361707760894, 'q0': 0.5077701235510973, 'alpha': 0.5847895154504361, 'beta': 0.6413829753178264, 'rho': 0.2990121644546394, 'ants': 8}
Param 72: {'tau0': 8.908613414444593e-06, 'xi': 0.1316659796537964, 'q0': 0.44184378094598165, 'alpha': 1.5856828467501214, 'beta': 0.9751219636880748, 'rho': 0.2735558699054583, 'ants': 18}
Param 73: {'tau0': 9.493726088905091e-06, 'xi': 0.11484843759454823, 'q0': 0.6111218433796399, 'alpha': 1.5748339874818995, 'beta': 1.6004495863491173, 'rho': 0.40117280761880736, 'ants': 26}
Param 74: {'tau0': 5.420704371762057e-06, 'xi': 0.09688583805471983, 'q0': 0.31023948946680013, 'alpha': 0.7611440380801126, 'beta': 1.2418611307887504, 'rho': 0.4656758616586811, 'ants': 22}
Param 75: {'tau0': 6.1953877645287985e-06, 'xi': 0.12592428493863295, 'q0': 0.5371346552036473, 'alpha': 0.6164150020009103, 'beta': 1.0047990339648631, 'rho': 0.10018538445968772, 'ants': 21}
Param 76: {'tau0': 2.693231228771534e-06, 'xi': 0.06741045013783678, 'q0': 0.34341334065428447, 'alpha': 1.6251653731737596, 'beta': 0.8948148014172467, 'rho': 0.1267448319977672, 'ants': 32}
Param 77: {'tau0': 3.151708497185101e-06, 'xi': 0.05632693656731169, 'q0': 0.5279577748463967, 'alpha': 0.47226881213046684, 'beta': 1.430973702133798, 'rho': 0.06294574331706608, 'ants': 24}
Param 78: {'tau0': 1.6439317200303233e-06, 'xi': 0.07746694961935612, 'q0': 0.6106338054732293, 'alpha': 1.8489351800014946, 'beta': 0.9702307798494468, 'rho': 0.2665529796010956, 'ants': 30}
Param 79: {'tau0': 7.814861621349648e-06, 'xi': 0.138307434456488, 'q0': 0.43841983460807055, 'alpha': 1.339632899369741, 'beta': 1.2581696145841696, 'rho': 0.4518495513690369, 'ants': 15}
Param 80: {'tau0': 5.072339472437726e-06, 'xi': 0.06750660483788565, 'q0': 0.39673942663117334, 'alpha': 1.3764884196051321, 'beta': 0.7955077619397278, 'rho': 0.4521931615046479, 'ants': 17}
Param 81: {'tau0': 8.524438848395618e-06, 'xi': 0.08260719400248602, 'q0': 0.6770641636613806, 'alpha': 0.6089210219484695, 'beta': 0.5746980829231113, 'rho': 0.06462761009956378, 'ants': 17}
Param 82: {'tau0': 6.7016855702575265e-06, 'xi': 0.11061032973207813, 'q0': 0.8522979141088549, 'alpha': 0.9933756089527778, 'beta': 1.0108153997499625, 'rho': 0.20257431029412304, 'ants': 17}
Param 83: {'tau0': 8.839185575249679e-06, 'xi': 0.14550623661925266, 'q0': 0.34798186644897255, 'alpha': 1.259708246474134, 'beta': 0.9832315705511097, 'rho': 0.4534262478421148, 'ants': 24}
Param 84: {'tau0': 7.405500650510694e-06, 'xi': 0.0538011928337849, 'q0': 0.7808066118135257, 'alpha': 1.9053416179409846, 'beta': 1.1675645378953803, 'rho': 0.23263286946707473, 'ants': 25}
Param 85: {'tau0': 9.119507042405133e-06, 'xi': 0.08312134642286392, 'q0': 0.652583610347572, 'alpha': 1.9538629702340153, 'beta': 0.5827075905861862, 'rho': 0.2829709186785237, 'ants': 20}
Param 86: {'tau0': 1.909159906569024e-06, 'xi': 0.11956886836355252, 'q0': 0.3752425237189395, 'alpha': 1.7473087080286895, 'beta': 0.3768151318487377, 'rho': 0.3399270042677068, 'ants': 31}
Param 87: {'tau0': 8.524494344253886e-06, 'xi': 0.09819260408139344, 'q0': 0.8088391626043536, 'alpha': 1.5978494389623978, 'beta': 0.3615392099783453, 'rho': 0.32122496368584613, 'ants': 32}
Param 88: {'tau0': 6.544509853368331e-06, 'xi': 0.05105112966369988, 'q0': 0.3218040775925436, 'alpha': 1.317829237345747, 'beta': 0.4388545186115663, 'rho': 0.34888292737798793, 'ants': 30}
Param 89: {'tau0': 6.013615341921658e-06, 'xi': 0.14211938125893342, 'q0': 0.3248975661404837, 'alpha': 1.1289454136305503, 'beta': 1.4285276537384943, 'rho': 0.3107997616316016, 'ants': 20}
Param 90: {'tau0': 3.870488509745335e-06, 'xi': 0.14375219093339509, 'q0': 0.31937330810318404, 'alpha': 1.2524356087799853, 'beta': 0.8404615317597104, 'rho': 0.2941319030093275, 'ants': 31}
Param 91: {'tau0': 3.0001635742109975e-06, 'xi': 0.10185978321027386, 'q0': 0.44627514452798456, 'alpha': 0.42223734675301555, 'beta': 0.774592723916731, 'rho': 0.08073686501278173, 'ants': 8}
Param 92: {'tau0': 8.598718994035021e-06, 'xi': 0.10575785607911106, 'q0': 0.5072684688226818, 'alpha': 1.441011679191464, 'beta': 1.677952088449605, 'rho': 0.3243596155081548, 'ants': 8}
Param 93: {'tau0': 4.585564497822685e-06, 'xi': 0.058757171197309443, 'q0': 0.34722321487260577, 'alpha': 1.3834921966172709, 'beta': 0.8673616661090202, 'rho': 0.2097770542871472, 'ants': 11}
Param 94: {'tau0': 1.3887935962446564e-06, 'xi': 0.06336511258122715, 'q0': 0.5149941610044446, 'alpha': 1.5531450358806447, 'beta': 0.41875271579630713, 'rho': 0.16981098283759344, 'ants': 13}
Param 95: {'tau0': 1.3920749967998762e-06, 'xi': 0.08397237700240848, 'q0': 0.6682959638256109, 'alpha': 1.2969464614531203, 'beta': 1.130493567371472, 'rho': 0.47674134103904503, 'ants': 21}
Param 96: {'tau0': 7.103605161777611e-06, 'xi': 0.13387993202949272, 'q0': 0.5522845785971021, 'alpha': 0.8010267528590788, 'beta': 1.1979962907017299, 'rho': 0.33102581714472007, 'ants': 26}
Param 97: {'tau0': 3.1489754854725666e-06, 'xi': 0.09233871711137026, 'q0': 0.6750093896651443, 'alpha': 1.4767667958454729, 'beta': 1.3965639583348552, 'rho': 0.22070860434618855, 'ants': 29}
Param 98: {'tau0': 5.342828546400694e-06, 'xi': 0.10757152839420789, 'q0': 0.48310874806332305, 'alpha': 0.7345220815729948, 'beta': 0.5000932542690112, 'rho': 0.1091478953450425, 'ants': 30}
Param 99: {'tau0': 7.0057149642065636e-06, 'xi': 0.149252803480768, 'q0': 0.4567360890655719, 'alpha': 0.7950975145067807, 'beta': 0.7667552217352966, 'rho': 0.11974195928540937, 'ants': 28}

Best Parameters for tuning_instances/inst03.txt with 27622: 66
Best Parameters for tuning_instances/inst06.txt with 27746: 74
Best Parameters for tuning_instances/inst09.txt with 23685: 91
Best Parameters for tuning_instances/inst12.txt with 27734: 98
Best Parameters for tuning_instances/inst15.txt with 23328: 98
Best Parameters for tuning_instances/inst18.txt with 27076: 17
Best Parameters for tuning_instances/inst21.txt with 25825: 81
Best Parameters for tuning_instances/inst24.txt with 24632: 6
Best Parameters for tuning_instances/inst27.txt with 23522: 13
Best Parameters for tuning_instances/inst30.txt with 26653: 91

best overall Parameters with 266631: 91
